"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"62","(default)","src/Admin.java","5","279","Found 'DD'-anomaly for variable 'C' (lines '279'-'280').","Controversial Rules","DataflowAnomalyAnalysis"
"63","(default)","src/Admin.java","5","279","Found 'DD'-anomaly for variable 'C' (lines '279'-'280').","Controversial Rules","DataflowAnomalyAnalysis"
"64","(default)","src/Admin.java","3","288","Always check the return of one of the navigation method (next,previous,first,last) of a ResultSet.","Basic Rules","CheckResultSet"
"65","(default)","src/Admin.java","3","299","Avoid empty catch blocks","Basic Rules","EmptyCatchBlock"
"66","(default)","src/Admin.java","3","316","Avoid variables with short names like e","Naming Rules","ShortVariable"
"67","(default)","src/Admin.java","3","316","Parameter 'e' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"68","(default)","src/Admin.java","2","329","System.out.print is used","Java Logging Rules","SystemPrintln"
"69","(default)","src/Admin.java","2","330","System.out.print is used","Java Logging Rules","SystemPrintln"
"70","(default)","src/Admin.java","2","332","System.out.print is used","Java Logging Rules","SystemPrintln"
"71","(default)","src/Admin.java","2","333","System.out.print is used","Java Logging Rules","SystemPrintln"
"72","(default)","src/Admin.java","3","359","Avoid empty catch blocks","Basic Rules","EmptyCatchBlock"
"73","(default)","src/Login.java","4","1","Avoid unused imports such as 'java.awt.BorderLayout'","Type Resolution Rules","UnusedImports"
"74","(default)","src/Login.java","4","1","Avoid unused imports such as 'java.awt.BorderLayout'","Type Resolution Rules","UnusedImports"
"75","(default)","src/Login.java","4","2","Avoid unused imports such as 'java.awt.EventQueue'","Type Resolution Rules","UnusedImports"
"76","(default)","src/Login.java","4","2","Avoid unused imports such as 'java.awt.EventQueue'","Type Resolution Rules","UnusedImports"
"77","(default)","src/Login.java","4","3","Avoid duplicate imports such as 'javax.swing.JFrame'","Import Statement Rules","DuplicateImports"
"78","(default)","src/Login.java","4","4","Avoid duplicate imports such as 'javax.swing.JPanel'","Import Statement Rules","DuplicateImports"
"79","(default)","src/Login.java","3","13","All classes and interfaces must belong to a named package","Naming Rules","NoPackage"
"80","(default)","src/Login.java","3","15","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"81","(default)","src/Login.java","3","15","Perhaps 'contentPane' could be replaced by a local variable.","Design Rules","SingularField"
"82","(default)","src/Login.java","3","15","Private field 'contentPane' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"83","(default)","src/Login.java","3","16","Avoid excessively long variable names like Username_TextField","Naming Rules","LongVariable"
"84","(default)","src/Login.java","3","16","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"85","(default)","src/Login.java","3","16","Private field 'Username_TextField' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"86","(default)","src/Login.java","1","16","Variables should start with a lowercase character","Naming Rules","VariableNamingConventions"
"87","(default)","src/Login.java","1","16","Variables that are not final should not contain underscores (except for underscores in standard prefix/suffix).","Naming Rules","VariableNamingConventions"
"88","(default)","src/Login.java","3","17","Avoid excessively long variable names like Password_PasswordField","Naming Rules","LongVariable"
"89","(default)","src/Login.java","3","17","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"90","(default)","src/Login.java","3","17","Private field 'Password_PasswordField' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"91","(default)","src/Login.java","1","17","Variables should start with a lowercase character","Naming Rules","VariableNamingConventions"
"92","(default)","src/Login.java","1","17","Variables that are not final should not contain underscores (except for underscores in standard prefix/suffix).","Naming Rules","VariableNamingConventions"
"93","(default)","src/Login.java","3","18","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"94","(default)","src/Login.java","3","18","Perhaps 'Exit_Button' could be replaced by a local variable.","Design Rules","SingularField"
"95","(default)","src/Login.java","3","18","Private field 'Exit_Button' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"96","(default)","src/Login.java","1","18","Variables should start with a lowercase character","Naming Rules","VariableNamingConventions"
"97","(default)","src/Login.java","1","21","Method names should not contain underscores","Naming Rules","MethodNamingConventions"
"98","(default)","src/Login.java","1","21","Method names should not start with capital letters","Naming Rules","MethodNamingConventions"
"99","(default)","src/Login.java","3","21","Parameter 'Password' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"100","(default)","src/Login.java","3","21","Parameter 'Username' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"101","(default)","src/Login.java","3","25","Ensure that resources like this Connection object are closed after use","Design Rules","CloseResource"
"102","(default)","src/Login.java","3","25","Local variable 'con' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"103","(default)","src/Login.java","3","26","Local variable 'statement' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"104","(default)","src/Login.java","3","27","Ensure that resources like this ResultSet object are closed after use","Design Rules","CloseResource"
"105","(default)","src/Login.java","3","27","Local variable 'result' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"106","(default)","src/Login.java","3","33","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"107","(default)","src/Login.java","3","36","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"108","(default)","src/Login.java","3","39","Avoid empty catch blocks","Basic Rules","EmptyCatchBlock"
"109","(default)","src/Login.java","3","46","It is a good practice to call super() in a constructor","Controversial Rules","CallSuperInConstructor"
"110","(default)","src/Login.java","3","54","Local variable 'Login_Button' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"111","(default)","src/Login.java","3","57","Parameter 'arg0' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"112","(default)","src/Login.java","3","60","Local variable 'Username' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"113","(default)","src/Login.java","3","72","Avoid variables with short names like ta","Naming Rules","ShortVariable"
"114","(default)","src/Login.java","3","77","Avoid empty catch blocks","Basic Rules","EmptyCatchBlock"
"115","(default)","src/Login.java","3","98","Parameter 'arg0' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"116","(default)","src/Login.java","3","99","System.exit() should not be used in J2EE/JEE apps","J2EE Rules","DoNotCallSystemExit"
"117","(default)","src/Main.java","3","7","All classes and interfaces must belong to a named package","Naming Rules","NoPackage"
"118","(default)","src/Main.java","3","7","All methods are static.  Consider using Singleton instead.  Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design Rules","UseSingleton"
"119","(default)","src/Main.java","3","8","A method/constructor shouldn't explicitly throw java.lang.Exception","Type Resolution Rules","SignatureDeclareThrowsException"
"120","(default)","src/Main.java","3","8","A method/constructor shouldn't explicitly throw java.lang.Exception","Type Resolution Rules","SignatureDeclareThrowsException"
"121","(default)","src/Main.java","3","8","Parameter 'args' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"122","(default)","src/Main.java","3","9","Local variable 'login' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"123","(default)","src/Tamias.java","4","1","Avoid unused imports such as 'java.awt.BorderLayout'","Type Resolution Rules","UnusedImports"
"124","(default)","src/Tamias.java","4","1","Avoid unused imports such as 'java.awt.BorderLayout'","Type Resolution Rules","UnusedImports"
"125","(default)","src/Tamias.java","4","2","Avoid unused imports such as 'java.awt.EventQueue'","Type Resolution Rules","UnusedImports"
"126","(default)","src/Tamias.java","4","2","Avoid unused imports such as 'java.awt.EventQueue'","Type Resolution Rules","UnusedImports"
"127","(default)","src/Tamias.java","3","23","All classes and interfaces must belong to a named package","Naming Rules","NoPackage"
"128","(default)","src/Tamias.java","3","23","The class 'Tamias' has a Cyclomatic Complexity of 8 (Highest = 15).","Code Size Rules","CyclomaticComplexity"
"129","(default)","src/Tamias.java","3","25","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"130","(default)","src/Tamias.java","3","25","Perhaps 'contentPane' could be replaced by a local variable.","Design Rules","SingularField"
"131","(default)","src/Tamias.java","3","25","Private field 'contentPane' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"132","(default)","src/Tamias.java","3","26","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"133","(default)","src/Tamias.java","3","26","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"134","(default)","src/Tamias.java","1","26","Variables should start with a lowercase character","Naming Rules","VariableNamingConventions"
"135","(default)","src/Tamias.java","3","27","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"136","(default)","src/Tamias.java","3","27","Private field 'Route_TextField' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"137","(default)","src/Tamias.java","1","27","Variables should start with a lowercase character","Naming Rules","VariableNamingConventions"
"138","(default)","src/Tamias.java","1","27","Variables that are not final should not contain underscores (except for underscores in standard prefix/suffix).","Naming Rules","VariableNamingConventions"
"139","(default)","src/Tamias.java","3","28","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"140","(default)","src/Tamias.java","3","28","Private field 'Day_TextField' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"141","(default)","src/Tamias.java","1","28","Variables should start with a lowercase character","Naming Rules","VariableNamingConventions"
"142","(default)","src/Tamias.java","1","28","Variables that are not final should not contain underscores (except for underscores in standard prefix/suffix).","Naming Rules","VariableNamingConventions"
"143","(default)","src/Tamias.java","3","29","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"144","(default)","src/Tamias.java","3","29","Private field 'Time_TextField' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"145","(default)","src/Tamias.java","1","32","Method names should not contain underscores","Naming Rules","MethodNamingConventions"
"146","(default)","src/Tamias.java","3","32","Parameter 'Username' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"147","(default)","src/Tamias.java","3","38","It is a good practice to call super() in a constructor","Controversial Rules","CallSuperInConstructor"
"148","(default)","src/Tamias.java","3","38","The constructor 'Tamias' has a Cyclomatic Complexity of 15.","Code Size Rules","CyclomaticComplexity"
"149","(default)","src/Tamias.java","3","46","Local variable 'btnNewButton' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"150","(default)","src/Tamias.java","3","50","Local variable 'lblNewLabel' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"151","(default)","src/Tamias.java","3","55","Local variable 'scrollPane_1' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"152","(default)","src/Tamias.java","3","59","Avoid excessively long variable names like Announcement_TextArea_1","Naming Rules","LongVariable"
"153","(default)","src/Tamias.java","3","62","Local variable 'scrollPane' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"154","(default)","src/Tamias.java","3","69","Local variable 'lblNewLabel_1' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"155","(default)","src/Tamias.java","3","109","Avoid excessively long variable names like Print_Ticket_Label","Naming Rules","LongVariable"
"156","(default)","src/Tamias.java","3","118","Parameter 'arg0' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"157","(default)","src/Tamias.java","3","126","Ensure that resources like this Connection object are closed after use","Design Rules","CloseResource"
"158","(default)","src/Tamias.java","3","126","The String literal 'bF2*sC8!' appears 4 times in this file; the first occurrence is on line 126","String and StringBuffer Rules","AvoidDuplicateLiterals"
"159","(default)","src/Tamias.java","3","126","The String literal 'jdbc:mysql://sql2.freesqldatabase.com:3306/sql22538' appears 4 times in this file; the first occurrence is on line 126","String and StringBuffer Rules","AvoidDuplicateLiterals"
"160","(default)","src/Tamias.java","3","126","The String literal 'sql22538' appears 4 times in this file; the first occurrence is on line 126","String and StringBuffer Rules","AvoidDuplicateLiterals"
"161","(default)","src/Tamias.java","3","128","Always check the return of one of the navigation method (next,previous,first,last) of a ResultSet.","Basic Rules","CheckResultSet"
"162","(default)","src/Tamias.java","3","128","Ensure that resources like this ResultSet object are closed after use","Design Rules","CloseResource"
"163","(default)","src/Tamias.java","3","135","Avoid empty catch blocks","Basic Rules","EmptyCatchBlock"
"164","(default)","src/Tamias.java","3","149","Ensure that resources like this Connection object are closed after use","Design Rules","CloseResource"
"165","(default)","src/Tamias.java","3","151","Ensure that resources like this ResultSet object are closed after use","Design Rules","CloseResource"
"166","(default)","src/Tamias.java","3","165","Avoid empty catch blocks","Basic Rules","EmptyCatchBlock"
"167","(default)","src/Tamias.java","3","181","Avoid variables with short names like e","Naming Rules","ShortVariable"
"168","(default)","src/Tamias.java","3","181","Parameter 'e' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"169","(default)","src/Tamias.java","5","183","Found 'DU'-anomaly for variable 'Day' (lines '183'-'263').","Controversial Rules","DataflowAnomalyAnalysis"
"170","(default)","src/Tamias.java","5","183","Found 'DU'-anomaly for variable 'Day' (lines '183'-'263').","Controversial Rules","DataflowAnomalyAnalysis"
"171","(default)","src/Tamias.java","5","185","Found 'DU'-anomaly for variable 'time' (lines '185'-'263').","Controversial Rules","DataflowAnomalyAnalysis"
"172","(default)","src/Tamias.java","5","185","Found 'DU'-anomaly for variable 'time' (lines '185'-'263').","Controversial Rules","DataflowAnomalyAnalysis"
"173","(default)","src/Tamias.java","5","186","Found 'DU'-anomaly for variable 'Route' (lines '186'-'263').","Controversial Rules","DataflowAnomalyAnalysis"
"174","(default)","src/Tamias.java","5","186","Found 'DU'-anomaly for variable 'Route' (lines '186'-'263').","Controversial Rules","DataflowAnomalyAnalysis"
"175","(default)","src/Tamias.java","3","197","Ensure that resources like this Connection object are closed after use","Design Rules","CloseResource"
"176","(default)","src/Tamias.java","3","223","Always check the return of one of the navigation method (next,previous,first,last) of a ResultSet.","Basic Rules","CheckResultSet"
"177","(default)","src/Tamias.java","3","237","Avoid empty catch blocks","Basic Rules","EmptyCatchBlock"
"178","(default)","src/Tamias.java","3","249","Avoid empty catch blocks","Basic Rules","EmptyCatchBlock"
"179","(default)","src/announcement.java","3","1","All classes and interfaces must belong to a named package","Naming Rules","NoPackage"
"180","(default)","src/announcement.java","1","1","Class names should begin with an uppercase character","Naming Rules","ClassNamingConventions"
"181","(default)","src/announcement.java","3","8","Parameter 'annText' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"182","(default)","src/route.java","3","2","All classes and interfaces must belong to a named package","Naming Rules","NoPackage"
"183","(default)","src/route.java","1","2","Class names should begin with an uppercase character","Naming Rules","ClassNamingConventions"
"184","(default)","src/route.java","3","3","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"185","(default)","src/route.java","3","4","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"186","(default)","src/route.java","3","5","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"187","(default)","src/route.java","3","6","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"188","(default)","src/route.java","3","7","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"189","(default)","src/route.java","3","8","Avoid unused private fields such as 'route'.","Unused Code Rules","UnusedPrivateField"
"190","(default)","src/route.java","3","8","It is somewhat confusing to have a field name matching the declaring class name","Naming Rules","AvoidFieldNameMatchingTypeName"
"191","(default)","src/route.java","3","10","Parameter 'busName' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"192","(default)","src/route.java","3","10","Parameter 'day' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"193","(default)","src/route.java","3","10","Parameter 'route' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"194","(default)","src/route.java","3","10","Parameter 'seats' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"195","(default)","src/route.java","3","10","Parameter 'ticketPrice' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
