"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"34","(default)","src/Admin.java","3","190","The String literal 'jdbc:mysql://sql2.freesqldatabase.com:3306/sql22538' appears 5 times in this file; the first occurrence is on line 190","String and StringBuffer Rules","AvoidDuplicateLiterals"
"35","(default)","src/Admin.java","3","190","The String literal 'sql22538' appears 5 times in this file; the first occurrence is on line 190","String and StringBuffer Rules","AvoidDuplicateLiterals"
"36","(default)","src/Admin.java","3","192","Always check the return of one of the navigation method (next,previous,first,last) of a ResultSet.","Basic Rules","CheckResultSet"
"37","(default)","src/Admin.java","3","192","Ensure that resources like this ResultSet object are closed after use","Design Rules","CloseResource"
"38","(default)","src/Admin.java","3","200","Avoid printStackTrace(); use a logger call instead.","Java Logging Rules","AvoidPrintStackTrace"
"39","(default)","src/Admin.java","3","214","Ensure that resources like this Connection object are closed after use","Design Rules","CloseResource"
"40","(default)","src/Admin.java","3","216","Ensure that resources like this ResultSet object are closed after use","Design Rules","CloseResource"
"41","(default)","src/Admin.java","3","231","Avoid printStackTrace(); use a logger call instead.","Java Logging Rules","AvoidPrintStackTrace"
"42","(default)","src/Admin.java","3","249","Avoid variables with short names like e","Naming Rules","ShortVariable"
"43","(default)","src/Admin.java","3","249","Parameter 'e' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"44","(default)","src/Admin.java","3","261","Avoid excessively long variable names like Send_Announcement_Button","Naming Rules","LongVariable"
"45","(default)","src/Admin.java","3","263","Avoid variables with short names like e","Naming Rules","ShortVariable"
"46","(default)","src/Admin.java","3","263","Parameter 'e' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"47","(default)","src/Admin.java","2","271","System.out.print is used","Java Logging Rules","SystemPrintln"
"48","(default)","src/Admin.java","3","274","Ensure that resources like this Connection object are closed after use","Design Rules","CloseResource"
"49","(default)","src/Admin.java","3","277","Always check the return of one of the navigation method (next,previous,first,last) of a ResultSet.","Basic Rules","CheckResultSet"
"50","(default)","src/Admin.java","3","280","Avoid variables with short names like C","Naming Rules","ShortVariable"
"51","(default)","src/Admin.java","5","280","Found 'DD'-anomaly for variable 'C' (lines '280'-'281').","Controversial Rules","DataflowAnomalyAnalysis"
"52","(default)","src/Admin.java","5","280","Found 'DD'-anomaly for variable 'C' (lines '280'-'281').","Controversial Rules","DataflowAnomalyAnalysis"
"53","(default)","src/Admin.java","5","280","Found 'DD'-anomaly for variable 'C' (lines '280'-'281').","Controversial Rules","DataflowAnomalyAnalysis"
"54","(default)","src/Admin.java","5","280","Found 'DD'-anomaly for variable 'C' (lines '280'-'281').","Controversial Rules","DataflowAnomalyAnalysis"
"55","(default)","src/Admin.java","3","289","Always check the return of one of the navigation method (next,previous,first,last) of a ResultSet.","Basic Rules","CheckResultSet"
"56","(default)","src/Admin.java","3","301","Avoid printStackTrace(); use a logger call instead.","Java Logging Rules","AvoidPrintStackTrace"
"57","(default)","src/Admin.java","3","318","Avoid variables with short names like e","Naming Rules","ShortVariable"
"58","(default)","src/Admin.java","3","318","Parameter 'e' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"59","(default)","src/Admin.java","2","331","System.out.print is used","Java Logging Rules","SystemPrintln"
"60","(default)","src/Admin.java","2","332","System.out.print is used","Java Logging Rules","SystemPrintln"
"61","(default)","src/Admin.java","2","334","System.out.print is used","Java Logging Rules","SystemPrintln"
"62","(default)","src/Admin.java","2","335","System.out.print is used","Java Logging Rules","SystemPrintln"
"63","(default)","src/Admin.java","3","362","Avoid printStackTrace(); use a logger call instead.","Java Logging Rules","AvoidPrintStackTrace"
"64","(default)","src/Announcement.java","3","1","All classes and interfaces must belong to a named package","Naming Rules","NoPackage"
"65","(default)","src/Announcement.java","3","8","Parameter 'annText' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"66","(default)","src/Login.java","3","9","All classes and interfaces must belong to a named package","Naming Rules","NoPackage"
"67","(default)","src/Login.java","3","11","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"68","(default)","src/Login.java","3","11","Perhaps 'contentPane' could be replaced by a local variable.","Design Rules","SingularField"
"69","(default)","src/Login.java","3","11","Private field 'contentPane' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"70","(default)","src/Login.java","3","12","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"71","(default)","src/Login.java","3","12","Private field 'usernameTextField' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"72","(default)","src/Login.java","3","13","Avoid excessively long variable names like passwordPasswordField","Naming Rules","LongVariable"
"73","(default)","src/Login.java","3","13","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"74","(default)","src/Login.java","3","13","Private field 'passwordPasswordField' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"75","(default)","src/Login.java","3","14","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"76","(default)","src/Login.java","3","14","Perhaps 'exitButton' could be replaced by a local variable.","Design Rules","SingularField"
"77","(default)","src/Login.java","3","14","Private field 'exitButton' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"78","(default)","src/Login.java","3","17","Parameter 'Password' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"79","(default)","src/Login.java","3","17","Parameter 'Username' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"80","(default)","src/Login.java","3","21","Ensure that resources like this Connection object are closed after use","Design Rules","CloseResource"
"81","(default)","src/Login.java","3","21","Local variable 'con' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"82","(default)","src/Login.java","3","22","Local variable 'statement' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"83","(default)","src/Login.java","3","23","Ensure that resources like this ResultSet object are closed after use","Design Rules","CloseResource"
"84","(default)","src/Login.java","3","23","Local variable 'result' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"85","(default)","src/Login.java","3","29","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"86","(default)","src/Login.java","3","33","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"87","(default)","src/Login.java","3","38","Avoid printStackTrace(); use a logger call instead.","Java Logging Rules","AvoidPrintStackTrace"
"88","(default)","src/Login.java","3","45","It is a good practice to call super() in a constructor","Controversial Rules","CallSuperInConstructor"
"89","(default)","src/Login.java","3","53","Local variable 'loginButton' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"90","(default)","src/Login.java","3","56","Parameter 'arg0' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"91","(default)","src/Login.java","3","59","Local variable 'Username' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"92","(default)","src/Login.java","3","77","Avoid printStackTrace(); use a logger call instead.","Java Logging Rules","AvoidPrintStackTrace"
"93","(default)","src/Login.java","3","99","Parameter 'arg0' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"94","(default)","src/Main.java","3","7","All classes and interfaces must belong to a named package","Naming Rules","NoPackage"
"95","(default)","src/Main.java","3","7","All methods are static.  Consider using Singleton instead.  Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design Rules","UseSingleton"
"96","(default)","src/Main.java","3","8","Parameter 'args' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"97","(default)","src/Main.java","3","9","Local variable 'login' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"98","(default)","src/Route.java","3","2","All classes and interfaces must belong to a named package","Naming Rules","NoPackage"
"99","(default)","src/Route.java","3","3","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"100","(default)","src/Route.java","3","4","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"101","(default)","src/Route.java","3","5","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"102","(default)","src/Route.java","3","6","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"103","(default)","src/Route.java","3","7","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"104","(default)","src/Route.java","3","8","It is somewhat confusing to have a field name matching the declaring class name","Naming Rules","AvoidFieldNameMatchingTypeName"
"105","(default)","src/Route.java","3","10","Parameter 'busName' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"106","(default)","src/Route.java","3","10","Parameter 'day' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"107","(default)","src/Route.java","3","10","Parameter 'route' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"108","(default)","src/Route.java","3","10","Parameter 'seats' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"109","(default)","src/Route.java","3","10","Parameter 'ticketPrice' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"110","(default)","src/Tamias.java","3","20","All classes and interfaces must belong to a named package","Naming Rules","NoPackage"
"111","(default)","src/Tamias.java","3","20","The class 'Tamias' has a Cyclomatic Complexity of 8 (Highest = 14).","Code Size Rules","CyclomaticComplexity"
"112","(default)","src/Tamias.java","3","22","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"113","(default)","src/Tamias.java","3","22","Perhaps 'contentPane' could be replaced by a local variable.","Design Rules","SingularField"
"114","(default)","src/Tamias.java","3","22","Private field 'contentPane' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"115","(default)","src/Tamias.java","3","23","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"116","(default)","src/Tamias.java","3","23","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"117","(default)","src/Tamias.java","3","24","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"118","(default)","src/Tamias.java","3","24","Private field 'routeTextField' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"119","(default)","src/Tamias.java","3","25","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"120","(default)","src/Tamias.java","3","25","Private field 'dayTextField' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"121","(default)","src/Tamias.java","3","26","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"122","(default)","src/Tamias.java","3","26","Private field 'timeTextField' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"123","(default)","src/Tamias.java","3","29","Parameter 'username' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"124","(default)","src/Tamias.java","3","35","It is a good practice to call super() in a constructor","Controversial Rules","CallSuperInConstructor"
"125","(default)","src/Tamias.java","3","35","The constructor 'Tamias' has a Cyclomatic Complexity of 14.","Code Size Rules","CyclomaticComplexity"
"126","(default)","src/Tamias.java","3","43","Local variable 'btnNewButton' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"127","(default)","src/Tamias.java","3","47","Local variable 'lblNewLabel' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"128","(default)","src/Tamias.java","3","52","Local variable 'scrollPane_1' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"129","(default)","src/Tamias.java","3","56","Avoid excessively long variable names like announcementTextArea_1","Naming Rules","LongVariable"
"130","(default)","src/Tamias.java","3","59","Local variable 'scrollPane' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"131","(default)","src/Tamias.java","3","66","Local variable 'lblNewLabel_1' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"132","(default)","src/Tamias.java","3","106","Avoid excessively long variable names like Print_Ticket_Label","Naming Rules","LongVariable"
"133","(default)","src/Tamias.java","3","115","Parameter 'arg0' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"134","(default)","src/Tamias.java","3","123","Ensure that resources like this Connection object are closed after use","Design Rules","CloseResource"
"135","(default)","src/Tamias.java","3","123","The String literal 'bF2*sC8!' appears 4 times in this file; the first occurrence is on line 123","String and StringBuffer Rules","AvoidDuplicateLiterals"
"136","(default)","src/Tamias.java","3","123","The String literal 'jdbc:mysql://sql2.freesqldatabase.com:3306/sql22538' appears 4 times in this file; the first occurrence is on line 123","String and StringBuffer Rules","AvoidDuplicateLiterals"
"137","(default)","src/Tamias.java","3","123","The String literal 'sql22538' appears 4 times in this file; the first occurrence is on line 123","String and StringBuffer Rules","AvoidDuplicateLiterals"
"138","(default)","src/Tamias.java","3","125","Always check the return of one of the navigation method (next,previous,first,last) of a ResultSet.","Basic Rules","CheckResultSet"
"139","(default)","src/Tamias.java","3","125","Ensure that resources like this ResultSet object are closed after use","Design Rules","CloseResource"
"140","(default)","src/Tamias.java","3","133","Avoid printStackTrace(); use a logger call instead.","Java Logging Rules","AvoidPrintStackTrace"
"141","(default)","src/Tamias.java","3","147","Ensure that resources like this Connection object are closed after use","Design Rules","CloseResource"
"142","(default)","src/Tamias.java","3","149","Ensure that resources like this ResultSet object are closed after use","Design Rules","CloseResource"
"143","(default)","src/Tamias.java","3","165","Avoid printStackTrace(); use a logger call instead.","Java Logging Rules","AvoidPrintStackTrace"
"144","(default)","src/Tamias.java","3","181","Avoid variables with short names like e","Naming Rules","ShortVariable"
"145","(default)","src/Tamias.java","3","181","Parameter 'e' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"146","(default)","src/Tamias.java","5","183","Found 'DU'-anomaly for variable 'Day' (lines '183'-'261').","Controversial Rules","DataflowAnomalyAnalysis"
"147","(default)","src/Tamias.java","5","183","Found 'DU'-anomaly for variable 'Day' (lines '183'-'261').","Controversial Rules","DataflowAnomalyAnalysis"
"148","(default)","src/Tamias.java","5","185","Found 'DU'-anomaly for variable 'time' (lines '185'-'261').","Controversial Rules","DataflowAnomalyAnalysis"
"149","(default)","src/Tamias.java","5","185","Found 'DU'-anomaly for variable 'time' (lines '185'-'261').","Controversial Rules","DataflowAnomalyAnalysis"
"150","(default)","src/Tamias.java","5","186","Found 'DU'-anomaly for variable 'Route' (lines '186'-'261').","Controversial Rules","DataflowAnomalyAnalysis"
"151","(default)","src/Tamias.java","5","186","Found 'DU'-anomaly for variable 'Route' (lines '186'-'261').","Controversial Rules","DataflowAnomalyAnalysis"
"152","(default)","src/Tamias.java","3","197","Ensure that resources like this Connection object are closed after use","Design Rules","CloseResource"
"153","(default)","src/Tamias.java","3","222","Always check the return of one of the navigation method (next,previous,first,last) of a ResultSet.","Basic Rules","CheckResultSet"
"154","(default)","src/Tamias.java","3","247","Avoid printStackTrace(); use a logger call instead.","Java Logging Rules","AvoidPrintStackTrace"
